###	Overall-Options.html#index-_0023_0023_0023
-march	LoongArch-Options.html#index--march
mmad	MIPS-Options.html#index-mmad
mmadd4	MIPS-Options.html#index-mmadd4
mmain-is-OS_task	AVR-Options.html#index-mmain-is-OS_005ftask
mmainkernel	Nvidia-PTX-Options.html#index-mmainkernel
mmalloc64	VMS-Options.html#index-mmalloc64
mmanual-endbr	x86-Options.html#index-mmanual-endbr
mmax	DEC-Alpha-Options.html#index-mmax
mmax-constant-size	RX-Options.html#index-mmax-constant-size
mmax-inline-shift=	MSP430-Options.html#index-mmax-inline-shift_003d
mmax-stack-frame	CRIS-Options.html#index-mmax-stack-frame
mmcount-ra-address	MIPS-Options.html#index-mmcount-ra-address
mmcu	AVR-Options.html#index-mmcu
mmcu	MIPS-Options.html#index-mmcu-1
mmcu	PRU-Options.html#index-mmcu-2
mmcu=	MSP430-Options.html#index-mmcu_003d
MMD	Preprocessor-Options.html#index-MMD
mmedia	FRV-Options.html#index-mmedia
mmedium-calls	ARC-Options.html#index-mmedium-calls
mmemcpy	MicroBlaze-Options.html#index-mmemcpy
mmemcpy	MIPS-Options.html#index-mmemcpy-1
mmemcpy-strategy=<var>strategy</var>	x86-Options.html#index-mmemcpy-strategy_003dstrategy
mmemory-latency	DEC-Alpha-Options.html#index-mmemory-latency
mmemory-model	SPARC-Options.html#index-mmemory-model
mmemset-strategy=<var>strategy</var>	x86-Options.html#index-mmemset-strategy_003dstrategy
mmfcrf	RS_002f6000-and-PowerPC-Options.html#index-mmfcrf
mmicromips	MIPS-Options.html#index-mmicromips
mmillicode	ARC-Options.html#index-mmillicode
mminimal-toc	RS_002f6000-and-PowerPC-Options.html#index-mminimal-toc
mminmax	MeP-Options.html#index-mminmax
mmixed-code	ARC-Options.html#index-mmixed-code
mmma	RS_002f6000-and-PowerPC-Options.html#index-mmma
mmmx	x86-Options.html#index-mmmx
mmodel=large	M32R_002fD-Options.html#index-mmodel_003dlarge
mmodel=medium	M32R_002fD-Options.html#index-mmodel_003dmedium
mmodel=small	M32R_002fD-Options.html#index-mmodel_003dsmall
mmovbe	x86-Options.html#index-mmovbe
mmovdir64b	x86-Options.html#index-mmovdir64b
mmovdiri	x86-Options.html#index-mmovdiri
mmove-max	x86-Options.html#index-mmove-max
mmp	C-SKY-Options.html#index-mmp
mmpy	ARC-Options.html#index-mmpy
mmpy-option	ARC-Options.html#index-mmpy-option
mms-bitfields	x86-Options.html#index-mms-bitfields
mmt	MIPS-Options.html#index-mmt
mmul	RL78-Options.html#index-mmul
mmul-bug-workaround	CRIS-Options.html#index-mmul-bug-workaround
mmul.x	Moxie-Options.html#index-mmul_002ex
mmul32x16	ARC-Options.html#index-mmul32x16
mmul64	ARC-Options.html#index-mmul64
mmuladd	FRV-Options.html#index-mmuladd
mmulhw	RS_002f6000-and-PowerPC-Options.html#index-mmulhw
mmult	MeP-Options.html#index-mmult
mmult-bug	MN10300-Options.html#index-mmult-bug
mmultcost	ARC-Options.html#index-mmultcost
mmulti-cond-exec	FRV-Options.html#index-mmulti-cond-exec
mmulticore	Blackfin-Options.html#index-mmulticore
mmultiple	RS_002f6000-and-PowerPC-Options.html#index-mmultiple
mmultiple-stld	C-SKY-Options.html#index-mmultiple-stld
mmusl	GNU_002fLinux-Options.html#index-mmusl
mmvcle	S_002f390-and-zSeries-Options.html#index-mmvcle
mmvme	RS_002f6000-and-PowerPC-Options.html#index-mmvme
mmwait	x86-Options.html#index-mmwait
mmwaitx	x86-Options.html#index-mmwaitx
mn	H8_002f300-Options.html#index-mn
mn-flash	AVR-Options.html#index-mn-flash
mnan=2008	MIPS-Options.html#index-mnan_003d2008
mnan=legacy	MIPS-Options.html#index-mnan_003dlegacy
mneeded	x86-Options.html#index-mneeded
mneon-for-64bits	ARM-Options.html#index-mneon-for-64bits
mnested-cond-exec	FRV-Options.html#index-mnested-cond-exec
mnewlib	OpenRISC-Options.html#index-mnewlib
mnhwloop	Score-Options.html#index-mnhwloop
mno-16-bit	NDS32-Options.html#index-mno-16-bit
mno-4byte-functions	MCore-Options.html#index-mno-4byte-functions
mno-8byte-align	V850-Options.html#index-mno-8byte-align
mno-abicalls	MIPS-Options.html#index-mno-abicalls
mno-ac0	PDP-11-Options.html#index-mno-ac0
mno-align-double	x86-Options.html#index-mno-align-double
mno-align-int	M680x0-Options.html#index-mno-align-int
mno-align-loops	M32R_002fD-Options.html#index-mno-align-loops
mno-align-stringops	x86-Options.html#index-mno-align-stringops
mno-allow-string-insns	RX-Options.html#index-mno-allow-string-insns
mno-altivec	RS_002f6000-and-PowerPC-Options.html#index-mno-altivec
mno-am33	MN10300-Options.html#index-mno-am33
mno-app-regs	SPARC-Options.html#index-mno-app-regs
mno-app-regs	V850-Options.html#index-mno-app-regs-1
mno-as100-syntax	RX-Options.html#index-mno-as100-syntax
mno-auto-litpools	Xtensa-Options.html#index-mno-auto-litpools
mno-avoid-indexed-addresses	RS_002f6000-and-PowerPC-Options.html#index-mno-avoid-indexed-addresses
mno-backchain	S_002f390-and-zSeries-Options.html#index-mno-backchain
mno-base-addresses	MMIX-Options.html#index-mno-base-addresses
mno-bit-align	RS_002f6000-and-PowerPC-Options.html#index-mno-bit-align
mno-bitfield	M680x0-Options.html#index-mno-bitfield
mno-branch-likely	MIPS-Options.html#index-mno-branch-likely
mno-branch-predict	MMIX-Options.html#index-mno-branch-predict
mno-brcc	ARC-Options.html#index-mno-brcc
mno-bwx	DEC-Alpha-Options.html#index-mno-bwx
mno-bypass-cache	Nios-II-Options.html#index-mno-bypass-cache
mno-cache-volatile	Nios-II-Options.html#index-mno-cache-volatile
mno-call-ms2sysv-xlogues	x86-Options.html#index-mno-call-ms2sysv-xlogues
mno-callgraph-data	MCore-Options.html#index-mno-callgraph-data
mno-cbcond	SPARC-Options.html#index-mno-cbcond
mno-check-zero-division	MIPS-Options.html#index-mno-check-zero-division
mno-cix	DEC-Alpha-Options.html#index-mno-cix
mno-clearbss	MicroBlaze-Options.html#index-mno-clearbss
mno-cmov	NDS32-Options.html#index-mno-cmov
mno-cmpb	RS_002f6000-and-PowerPC-Options.html#index-mno-cmpb
mno-co-re	eBPF-Options.html#index-mno-co-re
mno-cond-exec	ARC-Options.html#index-mno-cond-exec
mno-cond-exec	FRV-Options.html#index-mno-cond-exec-1
mno-cond-move	FRV-Options.html#index-mno-cond-move
mno-const-align	CRIS-Options.html#index-mno-const-align
mno-const16	Xtensa-Options.html#index-mno-const16
mno-crc	MIPS-Options.html#index-mno-crc
mno-crt0	MN10300-Options.html#index-mno-crt0
mno-crt0	Moxie-Options.html#index-mno-crt0-1
mno-crypto	RS_002f6000-and-PowerPC-Options.html#index-mno-crypto
mno-csync-anomaly	Blackfin-Options.html#index-mno-csync-anomaly
mno-custom-<var>insn</var>	Nios-II-Options.html#index-mno-custom-insn
mno-data-align	CRIS-Options.html#index-mno-data-align
mno-debug	S_002f390-and-zSeries-Options.html#index-mno-debug
mno-default	x86-Options.html#index-mno-default
mno-direct-extern-access	x86-Options.html#index-mno-direct-extern-access
mno-direct-extern-access	x86-Function-Attributes.html#index-mno-direct-extern-access-1
mno-disable-callt	V850-Options.html#index-mno-disable-callt
mno-div	M680x0-Options.html#index-mno-div
mno-div	MCore-Options.html#index-mno-div-1
mno-dlmzb	RS_002f6000-and-PowerPC-Options.html#index-mno-dlmzb
mno-double	FRV-Options.html#index-mno-double
mno-dpfp-lrsr	ARC-Options.html#index-mno-dpfp-lrsr
mno-dsp	MIPS-Options.html#index-mno-dsp
mno-dspr2	MIPS-Options.html#index-mno-dspr2
mno-dwarf2-asm	IA-64-Options.html#index-mno-dwarf2-asm
mno-dword	FRV-Options.html#index-mno-dword
mno-eabi	RS_002f6000-and-PowerPC-Options.html#index-mno-eabi
mno-early-stop-bits	IA-64-Options.html#index-mno-early-stop-bits
mno-eflags	FRV-Options.html#index-mno-eflags
mno-embedded-data	MIPS-Options.html#index-mno-embedded-data
mno-ep	V850-Options.html#index-mno-ep
mno-epsilon	MMIX-Options.html#index-mno-epsilon
mno-eva	MIPS-Options.html#index-mno-eva
mno-explicit-relocs	DEC-Alpha-Options.html#index-mno-explicit-relocs
mno-explicit-relocs	MIPS-Options.html#index-mno-explicit-relocs-1
mno-exr	H8_002f300-Options.html#index-mno-exr
mno-ext-perf	NDS32-Options.html#index-mno-ext-perf
mno-ext-perf2	NDS32-Options.html#index-mno-ext-perf2
mno-ext-string	NDS32-Options.html#index-mno-ext-string
mno-extern-sdata	MIPS-Options.html#index-mno-extern-sdata
mno-fancy-math-387	x86-Options.html#index-mno-fancy-math-387
mno-fast-sw-div	Nios-II-Options.html#index-mno-fast-sw-div
mno-faster-structs	SPARC-Options.html#index-mno-faster-structs
mno-fdpic	ARM-Options.html#index-mno-fdpic
mno-fix	DEC-Alpha-Options.html#index-mno-fix
mno-fix-24k	MIPS-Options.html#index-mno-fix-24k
mno-fix-cortex-a53-835769	AArch64-Options.html#index-mno-fix-cortex-a53-835769
mno-fix-cortex-a53-843419	AArch64-Options.html#index-mno-fix-cortex-a53-843419
mno-fix-r10000	MIPS-Options.html#index-mno-fix-r10000
mno-fix-r4000	MIPS-Options.html#index-mno-fix-r4000
mno-fix-r4400	MIPS-Options.html#index-mno-fix-r4400
mno-flat	SPARC-Options.html#index-mno-flat
mno-float	MIPS-Options.html#index-mno-float
mno-float128	RS_002f6000-and-PowerPC-Options.html#index-mno-float128
mno-float128-hardware	RS_002f6000-and-PowerPC-Options.html#index-mno-float128-hardware
mno-flush-func	M32R_002fD-Options.html#index-mno-flush-func
mno-flush-trap	M32R_002fD-Options.html#index-mno-flush-trap
mno-fmaf	SPARC-Options.html#index-mno-fmaf
mno-fp-in-toc	RS_002f6000-and-PowerPC-Options.html#index-mno-fp-in-toc
mno-fp-regs	DEC-Alpha-Options.html#index-mno-fp-regs
mno-fp-ret-in-387	x86-Options.html#index-mno-fp-ret-in-387
mno-fprnd	RS_002f6000-and-PowerPC-Options.html#index-mno-fprnd
mno-fpu	SPARC-Options.html#index-mno-fpu
mno-fpu	Visium-Options.html#index-mno-fpu-1
mno-fsca	SH-Options.html#index-mno-fsca
mno-fsmuld	SPARC-Options.html#index-mno-fsmuld
mno-fsrra	SH-Options.html#index-mno-fsrra
mno-fused-madd	IA-64-Options.html#index-mno-fused-madd
mno-fused-madd	MIPS-Options.html#index-mno-fused-madd-1
mno-fused-madd	RS_002f6000-and-PowerPC-Options.html#index-mno-fused-madd-2
mno-fused-madd	S_002f390-and-zSeries-Options.html#index-mno-fused-madd-3
mno-fused-madd	SH-Options.html#index-mno-fused-madd-4
mno-fused-madd	Xtensa-Options.html#index-mno-fused-madd-5
mno-ginv	MIPS-Options.html#index-mno-ginv
mno-gnu-as	IA-64-Options.html#index-mno-gnu-as
mno-gnu-attribute	RS_002f6000-and-PowerPC-Options.html#index-mno-gnu-attribute
mno-gnu-ld	IA-64-Options.html#index-mno-gnu-ld
mno-gpopt	MIPS-Options.html#index-mno-gpopt
mno-gpopt	Nios-II-Options.html#index-mno-gpopt-1
mno-hard-dfp	RS_002f6000-and-PowerPC-Options.html#index-mno-hard-dfp
mno-hard-dfp	S_002f390-and-zSeries-Options.html#index-mno-hard-dfp-1
mno-hardlit	MCore-Options.html#index-mno-hardlit
mno-htm	RS_002f6000-and-PowerPC-Options.html#index-mno-htm
mno-htm	S_002f390-and-zSeries-Options.html#index-mno-htm-1
mno-hw-div	Nios-II-Options.html#index-mno-hw-div
mno-hw-mul	Nios-II-Options.html#index-mno-hw-mul
mno-hw-mulx	Nios-II-Options.html#index-mno-hw-mulx
mno-id-shared-library	Blackfin-Options.html#index-mno-id-shared-library
mno-ieee	SH-Options.html#index-mno-ieee
mno-ieee-fp	x86-Options.html#index-mno-ieee-fp
mno-imadd	MIPS-Options.html#index-mno-imadd
mno-inline-float-divide	IA-64-Options.html#index-mno-inline-float-divide
mno-inline-int-divide	IA-64-Options.html#index-mno-inline-int-divide
mno-inline-sqrt	IA-64-Options.html#index-mno-inline-sqrt
mno-int16	PDP-11-Options.html#index-mno-int16
mno-int32	PDP-11-Options.html#index-mno-int32
mno-interlink-compressed	MIPS-Options.html#index-mno-interlink-compressed
mno-interlink-mips16	MIPS-Options.html#index-mno-interlink-mips16
mno-interrupts	AVR-Options.html#index-mno-interrupts
mno-isel	RS_002f6000-and-PowerPC-Options.html#index-mno-isel
mno-jsr	RX-Options.html#index-mno-jsr
mno-knuthdiv	MMIX-Options.html#index-mno-knuthdiv
mno-leaf-id-shared-library	Blackfin-Options.html#index-mno-leaf-id-shared-library
mno-libfuncs	MMIX-Options.html#index-mno-libfuncs
mno-liw	MN10300-Options.html#index-mno-liw
mno-llsc	MIPS-Options.html#index-mno-llsc
mno-load-store-pairs	MIPS-Options.html#index-mno-load-store-pairs
mno-local-sdata	MIPS-Options.html#index-mno-local-sdata
mno-long-calls	ARM-Options.html#index-mno-long-calls
mno-long-calls	Blackfin-Options.html#index-mno-long-calls-1
mno-long-calls	HPPA-Options.html#index-mno-long-calls-2
mno-long-calls	MIPS-Options.html#index-mno-long-calls-3
mno-long-calls	V850-Options.html#index-mno-long-calls-4
mno-long-jumps	V850-Options.html#index-mno-long-jumps
mno-longcall	RS_002f6000-and-PowerPC-Options.html#index-mno-longcall
mno-longcalls	Xtensa-Options.html#index-mno-longcalls
mno-loongson-ext	MIPS-Options.html#index-mno-loongson-ext
mno-loongson-ext2	MIPS-Options.html#index-mno-loongson-ext2
mno-loongson-mmi	MIPS-Options.html#index-mno-loongson-mmi
mno-low-precision-div	AArch64-Options.html#index-mno-low-precision-div
mno-low-precision-recip-sqrt	AArch64-Options.html#index-mno-low-precision-recip-sqrt
mno-low-precision-sqrt	AArch64-Options.html#index-mno-low-precision-sqrt
mno-low64k	Blackfin-Options.html#index-mno-low64k
mno-lra	SPARC-Options.html#index-mno-lra
mno-lra	VAX-Options.html#index-mno-lra-1
mno-lsim	FR30-Options.html#index-mno-lsim
mno-lsim	MCore-Options.html#index-mno-lsim-1
mno-mad	MIPS-Options.html#index-mno-mad
mno-max	DEC-Alpha-Options.html#index-mno-max
mno-mcount-ra-address	MIPS-Options.html#index-mno-mcount-ra-address
mno-mcu	MIPS-Options.html#index-mno-mcu
mno-mdmx	MIPS-Options.html#index-mno-mdmx
mno-media	FRV-Options.html#index-mno-media
mno-memcpy	MIPS-Options.html#index-mno-memcpy
mno-mfcrf	RS_002f6000-and-PowerPC-Options.html#index-mno-mfcrf
mno-mips16	MIPS-Options.html#index-mno-mips16
mno-mips3d	MIPS-Options.html#index-mno-mips3d
mno-mma	RS_002f6000-and-PowerPC-Options.html#index-mno-mma
mno-mmicromips	MIPS-Options.html#index-mno-mmicromips
Mno-modules	Preprocessor-Options.html#index-Mno-modules
mno-mpy	ARC-Options.html#index-mno-mpy
mno-ms-bitfields	x86-Options.html#index-mno-ms-bitfields
mno-mt	MIPS-Options.html#index-mno-mt
mno-mul-bug-workaround	CRIS-Options.html#index-mno-mul-bug-workaround
mno-muladd	FRV-Options.html#index-mno-muladd
mno-mulhw	RS_002f6000-and-PowerPC-Options.html#index-mno-mulhw
mno-mult-bug	MN10300-Options.html#index-mno-mult-bug
mno-multi-cond-exec	FRV-Options.html#index-mno-multi-cond-exec
mno-multiple	RS_002f6000-and-PowerPC-Options.html#index-mno-multiple
mno-mvcle	S_002f390-and-zSeries-Options.html#index-mno-mvcle
mno-nested-cond-exec	FRV-Options.html#index-mno-nested-cond-exec
mno-odd-spreg	MIPS-Options.html#index-mno-odd-spreg
mno-omit-leaf-frame-pointer	AArch64-Options.html#index-mno-omit-leaf-frame-pointer
mno-optimize-membar	FRV-Options.html#index-mno-optimize-membar
mno-opts	MeP-Options.html#index-mno-opts
mno-pack	FRV-Options.html#index-mno-pack
mno-packed-stack	S_002f390-and-zSeries-Options.html#index-mno-packed-stack
mno-paired-single	MIPS-Options.html#index-mno-paired-single
mno-pc-relative-literal-loads	AArch64-Options.html#index-mno-pc-relative-literal-loads
mno-pcrel	RS_002f6000-and-PowerPC-Options.html#index-mno-pcrel
mno-pic	IA-64-Options.html#index-mno-pic
mno-pid	RX-Options.html#index-mno-pid
mno-plt	MIPS-Options.html#index-mno-plt
mno-pltseq	RS_002f6000-and-PowerPC-Options.html#index-mno-pltseq
mno-popc	SPARC-Options.html#index-mno-popc
mno-popcntb	RS_002f6000-and-PowerPC-Options.html#index-mno-popcntb
mno-popcntd	RS_002f6000-and-PowerPC-Options.html#index-mno-popcntd
mno-postinc	Adapteva-Epiphany-Options.html#index-mno-postinc
mno-postmodify	Adapteva-Epiphany-Options.html#index-mno-postmodify
mno-power8-fusion	RS_002f6000-and-PowerPC-Options.html#index-mno-power8-fusion
mno-power8-vector	RS_002f6000-and-PowerPC-Options.html#index-mno-power8-vector
mno-powerpc-gfxopt	RS_002f6000-and-PowerPC-Options.html#index-mno-powerpc-gfxopt
mno-powerpc-gpopt	RS_002f6000-and-PowerPC-Options.html#index-mno-powerpc-gpopt
mno-powerpc64	RS_002f6000-and-PowerPC-Options.html#index-mno-powerpc64
mno-prefixed	RS_002f6000-and-PowerPC-Options.html#index-mno-prefixed
mno-privileged	RS_002f6000-and-PowerPC-Options.html#index-mno-privileged
mno-prolog-function	V850-Options.html#index-mno-prolog-function
mno-prologue-epilogue	CRIS-Options.html#index-mno-prologue-epilogue
mno-prototype	RS_002f6000-and-PowerPC-Options.html#index-mno-prototype
mno-push-args	x86-Options.html#index-mno-push-args
mno-quad-memory	RS_002f6000-and-PowerPC-Options.html#index-mno-quad-memory
mno-quad-memory-atomic	RS_002f6000-and-PowerPC-Options.html#index-mno-quad-memory-atomic
mno-readonly-in-sdata	RS_002f6000-and-PowerPC-Options.html#index-mno-readonly-in-sdata
mno-red-zone	x86-Options.html#index-mno-red-zone
mno-register-names	IA-64-Options.html#index-mno-register-names
mno-regnames	RS_002f6000-and-PowerPC-Options.html#index-mno-regnames
mno-relax	PRU-Options.html#index-mno-relax
mno-relax	V850-Options.html#index-mno-relax-1
mno-relax-immediate	MCore-Options.html#index-mno-relax-immediate
mno-relocatable	RS_002f6000-and-PowerPC-Options.html#index-mno-relocatable
mno-relocatable-lib	RS_002f6000-and-PowerPC-Options.html#index-mno-relocatable-lib
mno-renesas	SH-Options.html#index-mno-renesas
mno-rop-protect	RS_002f6000-and-PowerPC-Options.html#index-mno-rop-protect
mno-round-nearest	Adapteva-Epiphany-Options.html#index-mno-round-nearest
mno-save-mduc-in-interrupts	RL78-Options.html#index-mno-save-mduc-in-interrupts
mno-scc	FRV-Options.html#index-mno-scc
mno-sched-ar-data-spec	IA-64-Options.html#index-mno-sched-ar-data-spec
mno-sched-ar-in-data-spec	IA-64-Options.html#index-mno-sched-ar-in-data-spec
mno-sched-br-data-spec	IA-64-Options.html#index-mno-sched-br-data-spec
mno-sched-br-in-data-spec	IA-64-Options.html#index-mno-sched-br-in-data-spec
mno-sched-control-spec	IA-64-Options.html#index-mno-sched-control-spec
mno-sched-count-spec-in-critical-path	IA-64-Options.html#index-mno-sched-count-spec-in-critical-path
mno-sched-in-control-spec	IA-64-Options.html#index-mno-sched-in-control-spec
mno-sched-prefer-non-control-spec-insns	IA-64-Options.html#index-mno-sched-prefer-non-control-spec-insns
mno-sched-prefer-non-data-spec-insns	IA-64-Options.html#index-mno-sched-prefer-non-data-spec-insns
mno-sched-prolog	ARM-Options.html#index-mno-sched-prolog
mno-sdata	ARC-Options.html#index-mno-sdata
mno-sdata	IA-64-Options.html#index-mno-sdata-1
mno-sdata	RS_002f6000-and-PowerPC-Options.html#index-mno-sdata-2
mno-sep-data	Blackfin-Options.html#index-mno-sep-data
mno-serialize-volatile	Xtensa-Options.html#index-mno-serialize-volatile
mno-setlb	MN10300-Options.html#index-mno-setlb
mno-short	M680x0-Options.html#index-mno-short
mno-side-effects	CRIS-Options.html#index-mno-side-effects
mno-sim	RX-Options.html#index-mno-sim
mno-single-exit	MMIX-Options.html#index-mno-single-exit
mno-slow-bytes	MCore-Options.html#index-mno-slow-bytes
mno-small-exec	S_002f390-and-zSeries-Options.html#index-mno-small-exec
mno-smartmips	MIPS-Options.html#index-mno-smartmips
mno-soft-cmpsf	Adapteva-Epiphany-Options.html#index-mno-soft-cmpsf
mno-soft-float	DEC-Alpha-Options.html#index-mno-soft-float
mno-space-regs	HPPA-Options.html#index-mno-space-regs
mno-specld-anomaly	Blackfin-Options.html#index-mno-specld-anomaly
mno-split-addresses	MIPS-Options.html#index-mno-split-addresses
mno-split-lohi	Adapteva-Epiphany-Options.html#index-mno-split-lohi
mno-stack-align	CRIS-Options.html#index-mno-stack-align
mno-stack-bias	SPARC-Options.html#index-mno-stack-bias
mno-std-struct-return	SPARC-Options.html#index-mno-std-struct-return
mno-strict-align	AArch64-Options.html#index-mno-strict-align
mno-strict-align	M680x0-Options.html#index-mno-strict-align-1
mno-strict-align	RS_002f6000-and-PowerPC-Options.html#index-mno-strict-align-2
mno-subxc	SPARC-Options.html#index-mno-subxc
mno-sum-in-toc	RS_002f6000-and-PowerPC-Options.html#index-mno-sum-in-toc
mno-sym32	MIPS-Options.html#index-mno-sym32
mno-target-align	Xtensa-Options.html#index-mno-target-align
mno-text-section-literals	Xtensa-Options.html#index-mno-text-section-literals
mno-tls-markers	RS_002f6000-and-PowerPC-Options.html#index-mno-tls-markers
mno-toc	RS_002f6000-and-PowerPC-Options.html#index-mno-toc
mno-toplevel-symbols	MMIX-Options.html#index-mno-toplevel-symbols
mno-tpf-trace	S_002f390-and-zSeries-Options.html#index-mno-tpf-trace
mno-tpf-trace-skip	S_002f390-and-zSeries-Options.html#index-mno-tpf-trace-skip
mno-unaligned-access	ARM-Options.html#index-mno-unaligned-access
mno-unaligned-access	MIPS-Options.html#index-mno-unaligned-access-1
mno-unaligned-doubles	SPARC-Options.html#index-mno-unaligned-doubles
mno-uninit-const-in-rodata	MIPS-Options.html#index-mno-uninit-const-in-rodata
mno-update	RS_002f6000-and-PowerPC-Options.html#index-mno-update
mno-user-mode	SPARC-Options.html#index-mno-user-mode
mno-usermode	SH-Options.html#index-mno-usermode
mno-v3push	NDS32-Options.html#index-mno-v3push
mno-v8plus	SPARC-Options.html#index-mno-v8plus
mno-vect-double	Adapteva-Epiphany-Options.html#index-mno-vect-double
mno-virt	MIPS-Options.html#index-mno-virt
mno-vis	SPARC-Options.html#index-mno-vis
mno-vis2	SPARC-Options.html#index-mno-vis2
mno-vis3	SPARC-Options.html#index-mno-vis3
mno-vis4	SPARC-Options.html#index-mno-vis4
mno-vis4b	SPARC-Options.html#index-mno-vis4b
mno-vliw-branch	FRV-Options.html#index-mno-vliw-branch
mno-volatile-asm-stop	IA-64-Options.html#index-mno-volatile-asm-stop
mno-volatile-cache	ARC-Options.html#index-mno-volatile-cache
mno-vrsave	RS_002f6000-and-PowerPC-Options.html#index-mno-vrsave
mno-vsx	RS_002f6000-and-PowerPC-Options.html#index-mno-vsx
mno-vx	S_002f390-and-zSeries-Options.html#index-mno-vx
mno-warn-devices-csv	MSP430-Options.html#index-mno-warn-devices-csv
mno-warn-mcu	MSP430-Options.html#index-mno-warn-mcu
mno-warn-multiple-fast-interrupts	RX-Options.html#index-mno-warn-multiple-fast-interrupts
mno-wide-bitfields	MCore-Options.html#index-mno-wide-bitfields
mno-xgot	M680x0-Options.html#index-mno-xgot
mno-xgot	MIPS-Options.html#index-mno-xgot-1
mno-xl-compat	RS_002f6000-and-PowerPC-Options.html#index-mno-xl-compat
mno-xpa	MIPS-Options.html#index-mno-xpa
mno-zdcbranch	SH-Options.html#index-mno-zdcbranch
mno-zero-extend	MMIX-Options.html#index-mno-zero-extend
mno-zvector	S_002f390-and-zSeries-Options.html#index-mno-zvector
mnobitfield	M680x0-Options.html#index-mnobitfield
mnodiv	FT32-Options.html#index-mnodiv
mnomacsave	SH-Options.html#index-mnomacsave
mnop-fun-dllimport	x86-Windows-Options.html#index-mnop-fun-dllimport
mnop-mcount	x86-Options.html#index-mnop-mcount
mnopm	FT32-Options.html#index-mnopm
mnops	Adapteva-Epiphany-Options.html#index-mnops
mnorm	ARC-Options.html#index-mnorm
modd-spreg	MIPS-Options.html#index-modd-spreg
momit-leaf-frame-pointer	AArch64-Options.html#index-momit-leaf-frame-pointer
momit-leaf-frame-pointer	Blackfin-Options.html#index-momit-leaf-frame-pointer-1
momit-leaf-frame-pointer	x86-Options.html#index-momit-leaf-frame-pointer-2
mone-byte-bool	Darwin-Options.html#index-mone-byte-bool
moptimize	Nvidia-PTX-Options.html#index-moptimize
moptimize-membar	FRV-Options.html#index-moptimize-membar
moptimize-membar	FRV-Options.html#index-moptimize-membar-1
moverride	AArch64-Options.html#index-moverride
MP	Preprocessor-Options.html#index-MP
mpa-risc-1-0	HPPA-Options.html#index-mpa-risc-1-0
mpa-risc-1-1	HPPA-Options.html#index-mpa-risc-1-1
mpa-risc-2-0	HPPA-Options.html#index-mpa-risc-2-0
mpack	FRV-Options.html#index-mpack
mpacked-stack	S_002f390-and-zSeries-Options.html#index-mpacked-stack
mpadstruct	SH-Options.html#index-mpadstruct
mpaired-single	MIPS-Options.html#index-mpaired-single
mpc-relative-literal-loads	AArch64-Options.html#index-mpc-relative-literal-loads
mpc32	x86-Options.html#index-mpc32
mpc64	x86-Options.html#index-mpc64
mpc80	x86-Options.html#index-mpc80
mpclmul	x86-Options.html#index-mpclmul
mpconfig	x86-Options.html#index-mpconfig
mpcrel	M680x0-Options.html#index-mpcrel
mpcrel	RS_002f6000-and-PowerPC-Options.html#index-mpcrel-1
mpdebug	CRIS-Options.html#index-mpdebug
mpe	RS_002f6000-and-PowerPC-Options.html#index-mpe
mpe-aligned-commons	x86-Windows-Options.html#index-mpe-aligned-commons
mpic-data-is-text-relative	ARM-Options.html#index-mpic-data-is-text-relative
mpic-data-is-text-relative	MicroBlaze-Options.html#index-mpic-data-is-text-relative-1
mpic-register	ARM-Options.html#index-mpic-register
mpid	RX-Options.html#index-mpid
mpku	x86-Options.html#index-mpku
mplt	MIPS-Options.html#index-mplt
mpltseq	RS_002f6000-and-PowerPC-Options.html#index-mpltseq
mpointer-size=<var>size</var>	VMS-Options.html#index-mpointer-size_003dsize
mpointers-to-nested-functions	RS_002f6000-and-PowerPC-Options.html#index-mpointers-to-nested-functions
mpoke-function-name	ARM-Options.html#index-mpoke-function-name
mpopc	SPARC-Options.html#index-mpopc
mpopcnt	x86-Options.html#index-mpopcnt
mpopcntb	RS_002f6000-and-PowerPC-Options.html#index-mpopcntb
mpopcntd	RS_002f6000-and-PowerPC-Options.html#index-mpopcntd
mportable-runtime	HPPA-Options.html#index-mportable-runtime
mpostinc	Adapteva-Epiphany-Options.html#index-mpostinc
mpostmodify	Adapteva-Epiphany-Options.html#index-mpostmodify
mpower8-fusion	RS_002f6000-and-PowerPC-Options.html#index-mpower8-fusion
mpower8-vector	RS_002f6000-and-PowerPC-Options.html#index-mpower8-vector
mpowerpc-gfxopt	RS_002f6000-and-PowerPC-Options.html#index-mpowerpc-gfxopt
mpowerpc-gpopt	RS_002f6000-and-PowerPC-Options.html#index-mpowerpc-gpopt
mpowerpc64	RS_002f6000-and-PowerPC-Options.html#index-mpowerpc64
mprefer-avx128	x86-Options.html#index-mprefer-avx128
mprefer-short-insn-regs	Adapteva-Epiphany-Options.html#index-mprefer-short-insn-regs
mprefer-vector-width	x86-Options.html#index-mprefer-vector-width
mprefergot	SH-Options.html#index-mprefergot
mpreferred-stack-boundary	RISC-V-Options.html#index-mpreferred-stack-boundary
mpreferred-stack-boundary	x86-Options.html#index-mpreferred-stack-boundary-1
mprefetchwt1	x86-Options.html#index-mprefetchwt1
mprefixed	RS_002f6000-and-PowerPC-Options.html#index-mprefixed
mpretend-cmove	SH-Options.html#index-mpretend-cmove
